node,region,variable,units,CA,BAS,ATS,RAS
Bioenergy with CCS,Laos,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Laos,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Laos,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Laos,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Laos,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Laos,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Bioenergy with CCS,Laos,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Laos,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Laos,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Laos,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Laos,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Laos,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Laos,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Laos,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Laos,Maximum Availability,Percent,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability
Bioenergy with CCS,Laos,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Laos,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023, 0, 2023 + Key\Modeling Assumptions\BECCS Lead Time:Activity Level, 500)"
Bioenergy with CCS,Laos,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Laos,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Laos,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Laos,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Laos,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Laos,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Laos,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Laos,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Laos,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Bioenergy with CCS,Laos,Node,ID,BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Laos:Activity Level[NA])
Bioenergy with CCS,Laos,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Bioenergy with CCS,Laos,Process Efficiency,Percent,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS
Bioenergy with CCS,Laos,Process Share,Share,0,0,0,
Bioenergy with CCS,Laos,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Bioenergy with CCS,Laos,Renewable Qualified,Percent,,,,100
Bioenergy with CCS,Laos,Salvage Value,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Laos,Seasonal Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Laos,Starting Charge,Share,0,,,
Bioenergy with CCS,Laos,Stranded Cost,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Laos,Variable OM Cost,U.S. Dollar,Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023)
Bioenergy with CCS,Malaysia,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Malaysia,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Malaysia,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Malaysia,Capacity Retirement,MW,0,0,0,0
Bioenergy with CCS,Malaysia,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other_MYPE:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Malaysia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Malaysia,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Malaysia,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Malaysia,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Malaysia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Bioenergy with CCS,Malaysia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Malaysia,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other_MYPE:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Malaysia,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Malaysia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Malaysia,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Malaysia,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Malaysia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Malaysia,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Malaysia,Maximum Availability,Percent,47 ? AEO8 Country submissions,47 ? AEO8 Country submissions,47 ? AEO8 Country submissions,47 ? AEO8 Country submissions
Bioenergy with CCS,Malaysia,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Malaysia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2031, 0, 2032, 500)"
Bioenergy with CCS,Malaysia,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Malaysia,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Malaysia,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Malaysia,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Malaysia,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Malaysia,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Malaysia,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Malaysia,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Malaysia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Bioenergy with CCS,Malaysia,Node,ID,BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Malaysia:Activity Level[NA])
Bioenergy with CCS,Malaysia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Bioenergy with CCS,Malaysia,Process Efficiency,Percent,Biomass Other_MYPE:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other_MYPE:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other_MYPE:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS,Biomass Other_MYPE:Process Efficiency * (1 - 0.09) ? Includes efficiency penalty for CCS
Bioenergy with CCS,Malaysia,Process Share,Share,0,0,0,
Bioenergy with CCS,Malaysia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000
Bioenergy with CCS,Malaysia,Renewable Qualified,Percent,,,,100
Bioenergy with CCS,Malaysia,Salvage Value,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Malaysia,Seasonal Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Malaysia,Starting Charge,Share,0,,,
Bioenergy with CCS,Malaysia,Stranded Cost,U.S. Dollar,0,0,0,0
Bioenergy with CCS,Malaysia,Variable OM Cost,U.S. Dollar,Biomass Other_MYPE:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_MYPE:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_MYPE:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023),Biomass Other_MYPE:Variable OM Cost[USD/MWh] + 3.29 ? Adds CCS retrofit cost from Danish Energy Agency (2023)
Bioenergy with CCS,Myanmar,Annual Storage Carryover,Yes/No,No,,,
Bioenergy with CCS,Myanmar,Capacity Additions,MW,0,0,0,0
Bioenergy with CCS,Myanmar,Capacity Credit,Percent,Maximum Availability,Maximum Availability,Maximum Availability,Maximum Availability
Bioenergy with CCS,Myanmar,Capacity Retirement,MW,0,0,0,0
Bioenergy with CCS,Myanmar,Capital Cost,U.S. Dollar,"Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Capital Cost[Thousand USD/MW] + 3368.33, 2030, Biomass Other:Capital Cost[Thousand USD/MW] + 2869.32, 2040, Biomass Other:Capital Cost[Thousand USD/MW] + 2631.98, 2050, Biomass Other:Capital Cost[Thousand USD/MW] + 2105.59) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Myanmar,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Bioenergy with CCS,Myanmar,Dispatchable,Yes/No,Yes,,,
Bioenergy with CCS,Myanmar,Endogenous Capacity,Megawatt,0,0,0,
Bioenergy with CCS,Myanmar,Existing Capacity,MW,0,Value(2024),Value(2024),Value(2024)
Bioenergy with CCS,Myanmar,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Bioenergy with CCS,Myanmar,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Bioenergy with CCS,Myanmar,Fixed OM Cost,U.S. Dollar,"Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)","Interp(2021, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 101.05, 2030, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 86.08, 2040, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 78.96, 2050, Biomass Other:Fixed OM Cost[Thousand USD/MW] + 63.17) ? Adds CCS retrofit cost from Danish Energy Agency (2023)"
Bioenergy with CCS,Myanmar,Full Load Hours,Hours,0,0,0,0
Bioenergy with CCS,Myanmar,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)","Min(Value(Historical Production[GWh],   LastHistoricalYear) / (Value(Exogenous Capacity[MW],   LastHistoricalYear) / 1000 * 8760) * 100, 100)"
Bioenergy with CCS,Myanmar,Historical Production,Gigawatt-Hour,0,0,0,
Bioenergy with CCS,Myanmar,Hourly Storage Carryover,Yes/No,Yes,,,
Bioenergy with CCS,Myanmar,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Bioenergy with CCS,Myanmar,Lifetime,Years,25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023),25 ? Danish Energy Agency (2023)
Bioenergy with CCS,Myanmar,Maximum Availability,Percent,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability,Biomass Other:Maximum Availability
Bioenergy with CCS,Myanmar,Maximum Capacity,Megawatt,,,,0
Bioenergy with CCS,Myanmar,Maximum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Myanmar,Maximum Production,Gigajoule,,,,Unlimited
Bioenergy with CCS,Myanmar,Maximum_Share_of_Production,%,,100,100,100
Bioenergy with CCS,Myanmar,Merit Order,Merit Order,1,1,1,
Bioenergy with CCS,Myanmar,Minimum Capacity,Megawatt,,,,0
Bioenergy with CCS,Myanmar,Minimum Capacity Addition,Megawatt,,,,0
Bioenergy with CCS,Myanmar,Minimum Charge,Share,0,0,0,0
Bioenergy with CCS,Myanmar,Minimum Production,Gigajoule,,,,0
Bioenergy with CCS,Myanmar,Minimum Share of Production,Percent,,,,0
Bioenergy with CCS,Myanmar,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
